topology,run,algo,phase,controller,lambda,mu_init,mu_final,scale_factor,rho_init,rho_final,W_init,W_final,stable,alpha,beta,link_sens,k_paths,load_sens,controller_sens
CrlNetworkServices,2,B3,SM,6,868.0,1029.6,1029.6,1.0,0.843,0.843,inf,6.1881,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,B3,SM,7,812.0,1004.0,1004.0,1.0,0.8088,0.8088,inf,5.2083,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,MCF_ARC,SM,1,545.0,1092.8,1092.8,1.0,0.4987,0.4987,0.3547,1.8255,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,MCF_ARC,SM,2,925.0,1001.6,1001.6,1.0,0.9235,0.9235,0.2511,13.0548,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,MCF_ARC,SM,3,861.0,1001.6,1001.6,1.0,0.8596,0.8596,1.4225,7.1124,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,MCF_ARC,SM,4,870.0,1029.6,1029.6,1.0,0.845,0.845,inf,6.2657,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,MCF_ARC,SM,5,937.0,1001.6,1001.6,1.0,0.9355,0.9355,inf,15.4799,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,MCF_ARC,SM,6,967.0,1029.6,1029.6,1.0,0.9392,0.9392,inf,15.9744,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,2,MCF_ARC,SM,7,951.0,1004.0,1004.0,1.0,0.9472,0.9472,inf,18.8679,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B1,SM,1,162.0,1024.8,1024.8,1.0,0.1581,0.1581,1.159,1.159,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B1,SM,2,894.0,958.4,958.4,1.0,0.9328,0.9328,inf,15.528,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B1,SM,3,1023.0,1031.2,1031.2,1.0,0.992,0.992,0.5627,121.9512,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B1,SM,4,897.0,958.4,958.4,1.0,0.9359,0.9359,inf,16.2866,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B1,SM,5,905.0,971.2,971.2,1.0,0.9318,0.9318,inf,15.1057,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B1,SM,6,945.0,968.0,968.0,1.0,0.9762,0.9762,inf,43.4783,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B1,SM,7,972.0,973.6,973.6,1.0,0.9984,0.9984,0.0,625.0,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B3,SM,1,940.0,1024.8,1024.8,1.0,0.9173,0.9173,0.2318,11.7925,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B3,SM,2,920.0,958.4,958.4,1.0,0.9599,0.9599,0.2563,26.0417,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B3,SM,3,735.0,1031.2,1031.2,1.0,0.7128,0.7128,0.844,3.3761,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B3,SM,4,814.0,958.4,958.4,1.0,0.8493,0.8493,inf,6.9252,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B3,SM,5,821.0,971.2,971.2,1.0,0.8453,0.8453,inf,6.6578,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B3,SM,6,743.0,968.0,968.0,1.0,0.7676,0.7676,inf,4.4444,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,3,B3,SM,7,825.0,973.6,973.6,1.0,0.8474,0.8474,inf,6.7295,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B1,SM,1,396.0,1032.8,1032.8,1.0,0.3834,0.3834,0.5755,1.5704,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B1,SM,2,818.0,1042.4,1042.4,1.0,0.7847,0.7847,inf,4.4563,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B1,SM,3,913.0,1113.6,1113.6,1.0,0.8199,0.8199,0.997,4.985,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B1,SM,4,1016.0,1032.8,1032.8,1.0,0.9837,0.9837,inf,59.5238,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B1,SM,5,1032.0,1032.8,1032.8,1.0,0.9992,0.9992,0.0,1250.0,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B1,SM,6,1030.0,1033.6,1033.6,1.0,0.9965,0.9965,inf,277.7778,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B1,SM,7,1042.0,1044.0,1044.0,1.0,0.9981,0.9981,0.0,500.0,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B3,SM,1,833.0,1032.8,1032.8,1.0,0.8065,0.8065,0.2302,5.005,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B3,SM,2,1316.0,1042.4,1042.4,1.0,1.2625,1.2625,0.1913,inf,0,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B3,SM,3,743.0,1113.6,1113.6,1.0,0.6672,0.6672,1.2463,2.6983,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B3,SM,4,830.0,1032.8,1032.8,1.0,0.8036,0.8036,inf,4.931,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B3,SM,5,891.0,1032.8,1032.8,1.0,0.8627,0.8627,inf,7.0522,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B3,SM,6,880.0,1033.6,1033.6,1.0,0.8514,0.8514,inf,6.5104,1,0.5,0.5,0.05,5,0.0,0.0
CrlNetworkServices,4,B3,SM,7,754.0,1044.0,1044.0,1.0,0.7222,0.7222,inf,3.4483,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B1,SM,1,935.0,959.2,959.2,1.0,0.9748,0.9748,0.2648,41.3223,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B1,SM,2,509.0,959.2,959.2,1.0,0.5307,0.5307,0.4345,2.2212,1,0.5,0.5,0.05,5,0.0,0.0
Geant2010,0,B1,SM,3,553.0,1046.4,1046.4,1.0,0.5285,0.5285,0.6756,2.0268,1,0.5,0.5,0.05,5,0.0,0.0
