batch_ts,run_index,topology,algo,nodes,num_switches,num_controllers,objective,alpha,beta,k_paths,link_sens,obj_value,solve_time_sec,mip_gap,status,ctrl_load_mean_init,ctrl_load_mean_final,ctrl_load_max_init,ctrl_load_max_final,ctrl_capacity_mean,ctrl_usable_capacity_mean,mig_total,mig_count,mig_cc,mig_rt_penalty,load_dev_init,load_dev_final,ctrl_util_mean_init,ctrl_util_mean_final,ctrl_util_max_init,ctrl_util_max_final,delta_ctrl_util_max,ctrl_util_p95_init,ctrl_util_p95_final,ctrl_util_std_final,ctrl_util_cov_final,jain_load_init,jain_load_final,ctrl_headroom_mean_final,ctrl_headroom_p50_final,ctrl_headroom_p95_final,rt_mean_init_ms,rt_mean_final_ms,delta_rt_mean_ms,rt_max_init_ms,rt_max_final_ms,rt_p95_init_ms,rt_p95_final_ms,delta_rt_p95_ms,prop_delay_mean_ms,prop_delay_max_ms,queue_delay_mean_ms,queue_delay_max_ms,sync_delay_ms,ctrl_rt_mean_ms,ctrl_rt_p95_ms,ctrl_rt_max_ms,unstable_controllers,link_util_mean,link_util_max,link_util_p95,violated_links_count,excess_util_total,rebalanced_load_total
20260521_205112,3,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,1212263525.904677,0.0009644609999668319,,SUCCESS,828.2857142857143,828.2857142857143,1216.0,940.0,1229.5714285714287,983.657142857143,10303059.410837147,8,10303051.410837147,0.0,1054.0,205.0,0.6784725726148767,0.6742351943622923,0.9991783073130649,0.7679465776293823,-0.23123172968368255,0.9972007624008588,0.7577031195630501,0.06189690247426744,0.09180313189199654,0.7769934272402905,0.9923266551645801,0.32576480563770754,0.3221035332785538,0.41663849867601893,40.514024534194355,nan,nan,inf,87.56280275370993,nan,nan,nan,16.24450617214735,48.86614896665297,9.75803413768395,26.041666666666604,27.679171515830486,0.0,0.0,0.0,0,0.8152001612441515,3.665578685918698,2.6136033324355914,5,6.906883619162088,1520.0
20260521_205113,3,CrlNetworkServices,,33,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,INF_OR_UNBOUNDED_MCF_ARC,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260521_205115,4,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,5149714.325671497,0.11347060200023407,0.0,SUCCESS,nan,892.4285714285714,nan,1042.0,1309.2857142857142,1047.4285714285716,4700107.184038673,8,4700099.184038673,0.0,1119.0,646.0,0.6822040045163524,0.6817800029384448,0.9930340557275542,0.7993803253292022,-0.193653730398352,0.9851315849426729,0.799106457615499,0.16736657896444285,0.24548472856801246,0.7809110485390783,0.9443627798365272,0.31821999706155524,0.2130131680867544,0.596948114135704,35.652442334342496,nan,nan,inf,1351.6604139002507,nan,nan,nan,15.273255897499757,73.9812423843492,363.9447561840497,1250.0000000000712,27.679171515830486,0.0,0.0,0.0,0,0.6989147001361945,2.7993803912279844,1.102774613596343,5,2.804710066382876,879.0
20260521_205117,4,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,1756098201.4647121,0.000928596999074216,,SUCCESS,892.4285714285714,892.4285714285714,1283.0,1316.0,1309.2857142857142,1047.4285714285716,11458656.4055718,9,11458647.4055718,0.0,1119.0,573.0,0.6822040045163524,0.6829921513440408,0.9930340557275542,1.009976976208749,0.016942920481194723,0.9851315849426729,0.9140326827264493,0.14310081456789833,0.20952043780634128,0.7809110485390783,0.9606289189927727,0.3170078486559592,0.35476374903175834,0.4530316091954023,35.652442334342496,nan,nan,inf,inf,nan,nan,nan,16.03589828159918,55.10926711404133,5.079567285995162,7.052186177715094,27.679171515830486,0.0,0.0,0.0,1,0.8739669032410596,3.940001964517536,3.1007290832631482,6,8.112873110233696,1814.0
20260521_205118,4,CrlNetworkServices,,33,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,INF_OR_UNBOUNDED_MCF_ARC,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260521_205122,0,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,4153945.5673965714,0.06683670200072811,1.121009603406012e-16,SUCCESS,nan,828.875,nan,957.0,1213.375,970.7,4117445.4345910028,9,4117436.4345910028,0.0,994.0,448.0,0.6859470187235328,0.6860295563845851,0.9891576313594662,0.7981651376146789,-0.19099249374478733,0.9879899916597163,0.7978732276897414,0.15337900901093676,0.2235749284903305,0.802039983142812,0.9574894739693601,0.3139704436154149,0.23332825764208764,0.57660897970531,29.313773854075997,nan,nan,inf,508.11718425321624,nan,nan,nan,12.702288365075772,33.54418215047404,127.90976658602153,454.5454545454451,23.654199537776943,0.0,0.0,0.0,0,0.6250856894018608,1.7767509577766185,1.0321463981389436,4,1.7378271502127893,1048.0
20260521_205126,0,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,620399250.9085282,0.0011619310007517925,,SUCCESS,828.875,828.875,1186.0,1221.0,1213.375,970.7,7586509.586137196,10,7586499.586137196,0.0,994.0,668.0,0.6859470187235328,0.6861250716652997,0.9891576313594662,1.018348623853211,0.029190992493744683,0.9879899916597163,0.9509174311926605,0.16348645893140404,0.2382750109023195,0.802039983142812,0.951627812172169,0.3138749283347003,0.3386155129274395,0.5149006750669356,29.313773854075997,nan,nan,inf,inf,nan,nan,nan,12.776592651842455,31.81455517310637,5.318260380619616,7.451564828614006,23.654199537776943,0.0,0.0,0.0,2,0.6705024969638589,2.891682779812642,1.631936486920775,5,4.520192795153848,1815.0
20260521_205226,0,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,2657577.1096800026,55.43413047300055,5.333439382379382e-07,SUCCESS,828.875,828.875,1186.0,914.0,1213.375,970.7,5314770.203308299,11,5314759.203308299,0.0,994.0,361.0,0.6859470187235328,0.6860264417558662,0.9891576313594662,0.75850622406639,-0.2306514072930762,0.9879899916597163,0.7583751674112935,0.1088169096711016,0.15861911880916374,0.802039983142812,0.980430373688654,0.31397355824413387,0.25813177648040037,0.5047991381706978,29.313773854075997,nan,nan,inf,73.4920484328707,nan,nan,nan,13.010782244745094,33.54418215047404,14.106174323820857,20.0,23.654199537776943,52.324187284448534,67.6232781344023,74.04548947141376,0,0.6450200092328601,1.0000000000000049,0.9655099912927907,7,0.9204831949166964,1171.0
20260521_205230,1,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,3025834.54436161,0.03162421199886012,0.0,SUCCESS,nan,822.75,nan,958.0,1213.75,971.0,3359246.648176436,6,3359240.648176436,0.0,1010.0,549.0,0.6801039938494473,0.6765417572446086,0.9907795473595976,0.7979882648784576,-0.19279128248113997,0.9752205786161083,0.7975159015827622,0.17029303316971525,0.25171104569107117,0.7975506939359325,0.9382064042117708,0.32345824275539137,0.23422768950470996,0.6260084033613444,29.445732314712522,nan,nan,inf,457.57856901322117,nan,nan,nan,12.357378982592273,31.81455517310637,115.45871799258596,416.6666666666509,23.654199537776943,0.0,0.0,0.0,0,0.5976019608071521,2.206126213276608,0.912920469272593,4,1.8201092910107033,974.0
20260521_205234,1,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,556367328.7561582,0.0011684229993988993,,SUCCESS,822.75,822.75,1182.0,1122.0,1213.75,971.0,7586509.586137196,10,7586499.586137196,0.0,1010.0,610.0,0.6801039938494473,0.676719026979665,0.9907795473595976,0.8813825608798115,-0.10939698647978613,0.9752205786161083,0.8728986645718775,0.13385759515749038,0.1978038001309408,0.7975506939359325,0.9582906125985261,0.32328097302033504,0.33826929615776946,0.5080816175645434,29.445732314712522,nan,nan,inf,inf,nan,nan,nan,12.632633925164065,33.383193726930486,5.28214792670311,7.496251874062963,23.654199537776943,0.0,0.0,0.0,2,0.6514755544188044,2.2299384310865333,1.2985679177389584,5,3.10091718612977,1749.0
20260521_205259,1,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,2156547.011231039,21.124687215999074,3.456227086132238e-06,SUCCESS,822.75,822.75,1182.0,943.0,1213.75,971.0,4312639.934897853,8,4312631.934897853,0.0,1010.0,431.0,0.6801039938494473,0.6767404302849487,0.9907795473595976,0.7594300083822296,-0.23134953897736799,0.9752205786161083,0.7592177407425669,0.12480196634509695,0.18441630019437108,0.7975506939359325,0.9642707188537883,0.32325956971505143,0.2530667752981799,0.5465126050420168,29.445732314712522,nan,nan,inf,73.6505728927015,nan,nan,nan,13.232026810540901,31.81455517310637,14.408965417902154,20.66115702479335,23.654199537776943,52.52772475254021,72.0747045372373,75.21291820197635,0,0.6189991483253012,0.9953001685700835,0.912920469272593,4,0.5550856549553159,1141.0
20260521_205303,2,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,4565422.911978494,0.26329167599942593,2.039948089303902e-16,SUCCESS,nan,845.5,nan,994.0,1248.25,998.6000000000001,4843665.093931926,8,4843657.093931926,0.0,1097.0,616.0,0.6814653422933579,0.6764545224815367,0.9942857142857143,0.7983673469387755,-0.1959183673469388,0.9932325818511386,0.7968210322559113,0.17054189717411847,0.2521114007021415,0.764084145743172,0.9391371375947682,0.3235454775184633,0.2224544432105688,0.6288148580773273,27.880638228783695,nan,nan,inf,550.8126418592348,nan,nan,nan,12.375671192500842,33.54418215047404,121.27783661054845,500.0,23.654199537776943,0.0,0.0,0.0,0,0.6040125382446322,1.6440484767985402,0.9430143029238577,5,1.3163398696185578,1149.0
20260521_205307,2,Geant2010,,37,37,8,maxmin,0.5,0.5,5,0.0,783804023.1396706,0.0014010250015417114,,SUCCESS,845.5,845.5,1250.0,1130.0,1248.25,998.6000000000001,9971247.048544215,12,9971235.048544215,0.0,1097.0,434.0,0.6814653422933579,0.6765314890116237,0.9942857142857143,0.9224489795918367,-0.07183673469387764,0.9932325818511386,0.8792781698190852,0.1156554249878914,0.1709534986418116,0.764084145743172,0.9684298902224339,0.3234685109883763,0.37767112177966783,0.42330960969470294,27.880638228783695,nan,nan,inf,inf,nan,nan,nan,12.658514360157387,33.383193726930486,165.12074563333786,833.3333333333018,23.654199537776943,0.0,0.0,0.0,1,0.6990248276593396,3.3655340195332437,1.3701903447923802,9,4.988838751135081,2160.0
